Feature00,Feature01,Feature02,Feature03,Feature04,Feature05,Feature06,Feature07,Feature08,Feature09,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,target
23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,19.0,1,1,1,1,8,8,14.0,1,4
23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,19.0,1,1,1,1,8,8,14.0,1,3
23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,20.0,1,1,1,1,8,8,14.0,1,2
14.0,4.0,9,7,12.0,7,11.0,12.0,8,5,3,1,3.0,2.0,4,5,6,3,47.0,81.0,3,13.0,2,20.0,0,1,0,0,3,7,11.0,0,5
14.0,4.0,9,7,12.0,7,11.0,12.0,8,5,3,1,3.0,2.0,4,5,6,3,47.0,81.0,3,13.0,2,20.0,0,1,0,0,3,7,11.0,0,5
14.0,23.0,9,7,12.0,7,14.0,11.0,8,5,4,2,5.0,16.0,6,4,6,3,47.0,80.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,5
14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
19.0,1.0,9,7,12.0,7,13.0,15.0,8,5,3,3,32.0,49.0,4,5,4,5,47.0,85.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,2
19.0,1.0,9,7,12.0,7,14.0,16.0,8,5,4,4,28.0,47.0,4,5,4,5,47.0,87.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,2
0.0,11.0,9,7,12.0,7,15.0,13.0,8,5,5,2,45.0,11.0,4,4,2,4,47.0,83.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,4
14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
19.0,1.0,9,7,12.0,7,13.0,15.0,8,5,3,3,32.0,49.0,4,5,4,5,47.0,85.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,2
20.0,12.0,9,7,12.0,7,12.0,9.0,8,5,4,4,6.0,7.0,6,4,2,2,47.0,78.0,3,13.0,2,20.0,1,1,0,0,2,6,10.0,0,4
22.0,3.0,9,7,12.0,7,15.0,8.0,8,5,5,4,45.0,20.0,6,4,3,1,47.0,77.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,3
23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,11.0,2,20.0,1,1,1,1,8,8,14.0,1,3
14.0,23.0,9,7,12.0,7,14.0,11.0,8,5,4,2,5.0,16.0,6,4,6,3,47.0,80.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,5
19.0,1.0,9,7,12.0,7,13.0,15.0,8,5,3,3,32.0,49.0,4,5,4,5,47.0,85.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,2
19.0,1.0,9,7,12.0,7,12.0,14.0,8,5,2,4,2.0,23.0,6,4,4,5,47.0,84.0,3,13.0,2,20.0,0,1,0,0,5,7,13.0,0,2
20.0,0.0,9,7,12.0,7,12.0,15.0,8,5,4,1,32.0,38.0,4,5,2,2,47.0,76.0,3,13.0,2,20.0,1,1,0,0,2,5,9.0,0,4
5.0,0.0,9,7,12.0,7,9.0,14.0,8,5,4,2,32.0,32.0,6,4,2,2,47.0,75.0,3,13.0,2,20.0,0,1,0,0,4,6,8.0,0,4
0.0,11.0,9,7,12.0,7,15.0,13.0,8,5,5,2,45.0,11.0,4,4,2,4,47.0,83.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,4
10.0,10.0,9,7,12.0,7,15.0,13.0,8,5,5,1,45.0,68.0,3,4,3,3,48.0,82.0,3,13.0,2,18.0,0,1,2,0,8,8,14.0,2,3
23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,11.0,2,20.0,1,1,1,1,8,8,14.0,1,3
14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,11.0,2,20.0,1,1,1,1,8,8,14.0,1,3
23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,11.0,2,20.0,1,1,1,1,8,8,14.0,1,3
10.0,10.0,9,7,12.0,7,15.0,13.0,8,5,5,1,45.0,68.0,3,4,3,3,48.0,82.0,3,13.0,2,18.0,0,1,2,0,8,8,14.0,2,3
23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,11.0,2,20.0,1,1,1,1,8,8,14.0,1,3
19.0,1.0,9,7,12.0,7,12.0,14.0,8,5,2,4,2.0,23.0,6,4,4,5,47.0,84.0,3,13.0,2,20.0,0,1,0,0,5,7,13.0,0,2
23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,49.0,88.0,2,12.0,2,20.0,1,1,1,1,8,8,14.0,1,4
20.0,12.0,9,7,12.0,7,12.0,9.0,8,5,4,4,6.0,7.0,6,4,2,2,47.0,78.0,3,13.0,2,20.0,1,1,0,0,2,6,10.0,0,4
19.0,1.0,9,7,12.0,7,14.0,16.0,8,5,4,4,28.0,47.0,4,5,4,5,47.0,87.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,2
19.0,1.0,9,7,12.0,7,12.0,14.0,8,5,2,4,2.0,23.0,6,4,4,5,47.0,84.0,3,13.0,2,20.0,0,1,0,0,5,7,13.0,0,2
0.0,11.0,9,7,12.0,7,15.0,13.0,8,5,5,2,45.0,11.0,4,4,2,4,47.0,83.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,4
23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,49.0,88.0,2,12.0,2,20.0,1,1,1,1,8,8,14.0,1,4
14.0,4.0,9,7,12.0,7,11.0,12.0,8,5,3,1,3.0,2.0,4,5,6,3,47.0,81.0,3,13.0,2,20.0,0,1,0,0,3,7,11.0,0,5
14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
19.0,1.0,9,7,12.0,7,14.0,16.0,8,5,4,4,28.0,47.0,4,5,4,5,47.0,87.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,2
19.0,1.0,9,7,12.0,7,13.0,15.0,8,5,3,3,32.0,49.0,4,5,4,5,47.0,85.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,2
20.0,0.0,9,7,12.0,7,12.0,15.0,8,5,4,1,32.0,38.0,4,5,2,2,47.0,76.0,3,13.0,2,20.0,1,1,0,0,2,5,9.0,0,4
22.0,3.0,9,7,12.0,7,15.0,8.0,8,5,5,4,45.0,20.0,6,4,3,1,47.0,77.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,3
14.0,23.0,9,7,12.0,7,14.0,11.0,8,5,4,2,5.0,16.0,6,4,6,3,47.0,80.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,5
14.0,4.0,9,7,12.0,7,11.0,12.0,8,5,3,1,3.0,2.0,4,5,6,3,47.0,81.0,3,13.0,2,20.0,0,1,0,0,3,7,11.0,0,5
20.0,0.0,9,7,12.0,7,12.0,15.0,8,5,4,1,32.0,38.0,4,5,2,2,47.0,76.0,3,13.0,2,20.0,1,1,0,0,2,5,9.0,0,4
0.0,11.0,9,7,12.0,7,15.0,13.0,8,5,5,2,45.0,11.0,4,4,2,4,47.0,83.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,4
23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,49.0,88.0,2,12.0,2,20.0,1,1,1,1,8,8,14.0,1,4
23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,49.0,88.0,2,12.0,2,20.0,1,1,1,1,8,8,14.0,1,4
0.0,11.0,9,7,12.0,7,15.0,13.0,8,5,5,2,45.0,11.0,4,4,2,4,47.0,83.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,4
20.0,0.0,9,7,12.0,7,12.0,15.0,8,5,4,1,32.0,38.0,4,5,2,2,47.0,76.0,3,13.0,2,20.0,1,1,0,0,2,5,9.0,0,4
19.0,1.0,9,7,12.0,7,14.0,16.0,8,5,4,4,28.0,47.0,4,5,4,5,47.0,87.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,2
19.0,1.0,9,7,12.0,7,12.0,14.0,8,5,2,4,2.0,23.0,6,4,4,5,47.0,84.0,3,13.0,2,20.0,0,1,0,0,5,7,13.0,0,2
19.0,1.0,9,7,12.0,7,13.0,15.0,8,5,3,3,32.0,49.0,4,5,4,5,47.0,85.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,2
14.0,23.0,9,7,12.0,7,14.0,11.0,8,5,4,2,5.0,16.0,6,4,6,3,47.0,80.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,5
14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
19.0,1.0,9,7,12.0,7,12.0,14.0,8,5,2,4,2.0,23.0,6,4,4,5,47.0,84.0,3,13.0,2,20.0,0,1,0,0,5,7,13.0,0,2
19.0,1.0,9,7,12.0,7,13.0,15.0,8,5,3,3,32.0,49.0,4,5,4,5,47.0,85.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,2
19.0,1.0,9,7,12.0,7,14.0,16.0,8,5,4,4,28.0,47.0,4,5,4,5,47.0,87.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,2
22.0,3.0,9,7,12.0,7,15.0,8.0,8,5,5,4,45.0,20.0,6,4,3,1,47.0,77.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,3
23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,11.0,2,14.0,1,1,1,1,8,8,14.0,1,3
19.0,1.0,9,7,12.0,7,13.0,15.0,8,5,3,3,32.0,49.0,4,5,4,5,47.0,85.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,2
23.0,31.0,9,7,12.0,7,15.0,17.0,8,5,5,5,45.0,69.0,5,6,5,6,44.0,74.0,3,13.0,2,18.0,1,0,2,2,8,8,14.0,2,2
23.0,31.0,9,7,12.0,7,15.0,13.0,8,5,5,4,45.0,61.0,5,5,5,2,47.0,73.0,3,13.0,2,18.0,0,0,0,0,4,7,14.0,0,2
23.0,31.0,9,7,12.0,7,15.0,7.0,8,5,5,4,45.0,55.0,5,2,5,3,43.0,72.0,3,13.0,2,18.0,1,0,2,2,8,8,14.0,2,4
23.0,31.0,9,7,12.0,7,15.0,9.0,8,5,5,1,45.0,6.0,5,3,5,1,47.0,71.0,3,13.0,2,18.0,0,0,0,0,4,7,13.0,0,1
13.0,31.0,9,7,12.0,7,15.0,17.0,8,5,5,5,45.0,69.0,2,6,4,6,44.0,74.0,3,13.0,2,18.0,1,1,2,2,8,8,14.0,2,4
23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,11.0,2,14.0,1,1,1,1,8,8,14.0,1,3
19.0,31.0,6,6,9.0,6,15.0,17.0,8,5,5,5,45.0,69.0,6,6,1,6,47.0,70.0,3,13.0,2,18.0,0,0,0,0,4,7,14.0,0,1
12.0,7.0,5,6,9.0,6,15.0,7.0,8,5,5,4,45.0,55.0,3,2,2,3,43.0,72.0,3,13.0,2,18.0,1,0,2,2,8,8,14.0,2,3
23.0,31.0,5,6,9.0,6,8.0,16.0,8,5,4,4,28.0,42.0,5,4,5,3,47.0,69.0,3,13.0,2,18.0,0,0,0,0,1,7,13.0,0,2
23.0,31.0,5,7,9.0,5,15.0,17.0,8,5,5,5,45.0,69.0,5,6,5,6,42.0,68.0,3,13.0,2,20.0,1,0,0,0,2,6,13.0,0,4
23.0,31.0,5,7,9.0,5,8.0,16.0,8,5,2,3,13.0,13.0,5,3,5,3,47.0,67.0,3,13.0,2,18.0,1,1,0,0,2,6,14.0,0,2
23.0,31.0,5,6,9.0,6,15.0,17.0,8,5,5,5,45.0,69.0,5,6,5,6,41.0,66.0,3,13.0,2,20.0,0,0,0,0,2,7,14.0,0,3
23.0,31.0,5,6,9.0,6,15.0,15.0,8,5,5,1,45.0,60.0,5,5,5,3,47.0,65.0,3,13.0,2,20.0,0,0,0,0,4,7,13.0,0,3
23.0,31.0,5,6,9.0,6,15.0,17.0,8,5,5,5,45.0,69.0,5,6,5,6,40.0,64.0,3,13.0,2,20.0,0,0,0,0,6,7,14.0,0,2
23.0,31.0,5,7,9.0,5,15.0,17.0,8,5,5,5,45.0,69.0,5,6,5,6,47.0,63.0,3,13.0,2,20.0,1,0,0,0,4,7,13.0,0,4
23.0,31.0,5,7,8.0,5,15.0,17.0,5,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,10.0,2,13.0,1,0,1,1,8,8,14.0,1,5
23.0,31.0,5,7,8.0,5,15.0,17.0,5,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,10.0,2,12.0,1,1,1,1,8,8,14.0,1,5
1.0,25.0,5,5,7.0,5,15.0,11.0,4,4,5,0,45.0,58.0,1,4,2,1,39.0,62.0,3,13.0,2,20.0,0,0,0,0,2,5,14.0,0,3
23.0,31.0,5,5,7.0,5,15.0,17.0,4,4,5,5,45.0,69.0,5,6,5,6,38.0,61.0,3,13.0,2,20.0,0,0,2,0,8,8,14.0,2,4
23.0,31.0,4,5,6.0,7,15.0,17.0,3,4,5,5,45.0,69.0,5,6,5,6,37.0,88.0,0,13.0,2,20.0,0,0,1,1,8,8,14.0,1,4
23.0,31.0,5,7,9.0,4,0.0,3.0,8,3,3,1,22.0,21.0,5,3,5,3,47.0,24.0,3,13.0,2,20.0,0,0,2,0,0,8,14.0,0,1
23.0,31.0,5,7,9.0,5,2.0,13.0,8,5,4,4,37.0,57.0,5,5,5,2,47.0,35.0,3,13.0,2,20.0,0,0,0,0,4,5,14.0,0,5
23.0,31.0,5,7,9.0,5,15.0,11.0,8,5,5,0,45.0,58.0,5,4,5,1,20.0,62.0,3,13.0,2,20.0,0,0,0,0,2,5,14.0,0,4
23.0,31.0,5,7,8.0,5,15.0,17.0,5,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,10.0,2,13.0,1,1,1,1,8,8,14.0,1,5
23.0,31.0,5,7,8.0,5,15.0,17.0,5,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,10.0,2,13.0,1,1,1,1,8,8,14.0,1,5
23.0,31.0,5,7,8.0,5,15.0,17.0,5,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,10.0,2,12.0,1,1,1,1,8,8,14.0,1,5
23.0,31.0,5,7,8.0,5,15.0,17.0,5,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,10.0,2,13.0,1,1,1,1,8,8,14.0,1,5
6.0,31.0,5,7,9.0,5,15.0,17.0,8,5,5,5,45.0,69.0,4,6,0,6,47.0,43.0,3,13.0,2,20.0,0,0,0,0,4,6,5.0,0,5
23.0,31.0,5,6,4.0,6,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,49.0,88.0,2,5.0,2,5.0,1,0,1,1,8,8,14.0,1,3
16.0,21.0,5,7,9.0,5,4.0,16.0,8,5,2,4,34.0,56.0,4,5,4,5,47.0,87.0,3,13.0,2,20.0,0,0,0,0,7,7,13.0,0,5
23.0,31.0,5,7,9.0,5,15.0,10.0,8,5,5,1,45.0,12.0,5,0,5,3,19.0,23.0,3,13.0,2,20.0,1,0,0,2,8,5,14.0,0,1
5.0,5.0,5,6,9.0,6,15.0,8.0,8,5,5,4,45.0,20.0,6,4,3,1,47.0,77.0,3,13.0,2,20.0,0,0,0,0,4,6,13.0,0,4
23.0,31.0,5,7,9.0,5,15.0,17.0,8,5,5,5,45.0,69.0,5,6,5,6,47.0,43.0,3,13.0,2,20.0,0,0,0,0,4,6,5.0,0,3
23.0,31.0,5,7,9.0,5,15.0,17.0,8,5,5,5,45.0,69.0,5,6,5,6,47.0,22.0,3,13.0,2,20.0,0,0,0,0,4,7,11.0,0,4
19.0,7.0,5,6,9.0,6,15.0,7.0,8,5,5,4,45.0,55.0,3,2,3,3,43.0,72.0,3,13.0,2,18.0,1,1,2,2,8,8,14.0,2,3
19.0,7.0,5,6,9.0,6,15.0,7.0,8,5,5,4,45.0,55.0,3,2,3,3,43.0,72.0,3,13.0,2,18.0,1,1,2,2,8,8,14.0,2,3
19.0,7.0,5,6,9.0,6,15.0,7.0,8,5,5,4,45.0,55.0,3,2,3,3,43.0,72.0,3,13.0,2,18.0,1,1,2,2,8,8,14.0,2,3
19.0,7.0,5,6,9.0,6,15.0,7.0,8,5,5,4,45.0,55.0,3,2,3,3,43.0,72.0,3,13.0,2,18.0,1,1,2,2,8,8,14.0,2,3
19.0,7.0,5,6,9.0,6,15.0,7.0,8,5,5,4,45.0,55.0,3,2,3,3,43.0,72.0,3,13.0,2,18.0,1,1,2,2,8,8,14.0,2,3
19.0,7.0,5,6,9.0,6,15.0,7.0,8,5,5,4,45.0,55.0,3,2,3,3,43.0,72.0,3,13.0,2,18.0,1,1,2,2,8,8,14.0,2,3
13.0,31.0,9,7,12.0,7,15.0,17.0,8,5,5,5,45.0,69.0,2,6,4,6,44.0,74.0,3,13.0,2,18.0,1,1,2,2,8,8,14.0,2,4
19.0,1.0,9,7,12.0,7,14.0,16.0,8,5,4,4,28.0,47.0,4,5,4,5,47.0,87.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,2
19.0,1.0,9,7,12.0,7,12.0,14.0,8,5,2,4,2.0,23.0,6,4,4,5,47.0,84.0,3,13.0,2,20.0,0,1,0,0,5,7,13.0,0,2
10.0,31.0,9,7,12.0,7,15.0,17.0,8,5,5,5,45.0,69.0,6,6,3,6,46.0,86.0,3,13.0,2,18.0,1,1,0,0,6,7,12.0,0,2
23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,11.0,2,20.0,1,1,1,1,8,8,14.0,1,3
10.0,10.0,9,7,12.0,7,15.0,13.0,8,5,5,1,45.0,68.0,3,4,3,3,48.0,82.0,3,13.0,2,18.0,0,1,2,0,8,8,14.0,2,3
23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,49.0,88.0,2,12.0,2,20.0,1,1,1,1,8,8,14.0,1,4
0.0,11.0,9,7,12.0,7,15.0,13.0,8,5,5,2,45.0,11.0,4,4,2,4,47.0,83.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,4
20.0,12.0,9,7,12.0,7,12.0,9.0,8,5,4,4,6.0,7.0,6,4,2,2,47.0,78.0,3,13.0,2,20.0,1,1,0,0,2,6,10.0,0,4
20.0,0.0,9,7,12.0,7,12.0,15.0,8,5,4,1,32.0,38.0,4,5,2,2,47.0,76.0,3,13.0,2,20.0,1,1,0,0,2,5,9.0,0,4
14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
22.0,3.0,9,7,12.0,7,15.0,8.0,8,5,5,4,45.0,20.0,6,4,3,1,47.0,77.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,3
20.0,12.0,9,7,12.0,7,12.0,9.0,8,5,4,4,6.0,7.0,6,4,2,2,47.0,78.0,3,13.0,2,20.0,1,1,0,0,2,6,10.0,0,4
19.0,1.0,9,7,12.0,7,14.0,16.0,8,5,4,4,28.0,47.0,4,5,4,5,47.0,87.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,2
19.0,1.0,9,7,12.0,7,12.0,14.0,8,5,2,4,2.0,23.0,6,4,4,5,47.0,84.0,3,13.0,2,20.0,0,1,0,0,5,7,13.0,0,2
5.0,0.0,9,7,12.0,7,9.0,14.0,8,5,4,2,32.0,32.0,6,4,2,2,47.0,75.0,3,13.0,2,20.0,0,1,0,0,4,6,8.0,0,4
19.0,1.0,9,7,12.0,7,13.0,15.0,8,5,3,3,32.0,49.0,4,5,4,5,47.0,85.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,2
14.0,23.0,9,7,12.0,7,14.0,11.0,8,5,4,2,5.0,16.0,6,4,6,3,47.0,80.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,5
20.0,12.0,9,7,12.0,7,12.0,9.0,8,5,4,4,6.0,7.0,6,4,2,2,47.0,78.0,3,13.0,2,20.0,1,1,0,0,2,6,10.0,0,4
23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,49.0,88.0,2,12.0,2,20.0,1,1,1,1,8,8,14.0,1,4
14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
0.0,11.0,9,7,12.0,7,15.0,13.0,8,5,5,2,45.0,11.0,4,4,2,4,47.0,83.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,4
19.0,1.0,9,7,12.0,7,12.0,14.0,8,5,2,4,2.0,23.0,6,4,4,5,47.0,84.0,3,13.0,2,20.0,0,1,0,0,5,7,13.0,0,2
14.0,23.0,9,7,12.0,7,14.0,11.0,8,5,4,2,5.0,16.0,6,4,6,3,47.0,80.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,5
22.0,3.0,9,7,12.0,7,15.0,8.0,8,5,5,4,45.0,20.0,6,4,3,1,47.0,77.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,3
14.0,23.0,9,7,12.0,7,14.0,11.0,8,5,4,2,5.0,16.0,6,4,6,3,47.0,80.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,5
14.0,23.0,9,7,12.0,7,14.0,11.0,8,5,4,2,5.0,16.0,6,4,6,3,47.0,80.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,5
14.0,4.0,9,7,12.0,7,11.0,12.0,8,5,3,1,3.0,2.0,4,5,6,3,47.0,81.0,3,13.0,2,20.0,0,1,0,0,3,7,11.0,0,5
20.0,0.0,9,7,12.0,7,12.0,15.0,8,5,4,1,32.0,38.0,4,5,2,2,47.0,76.0,3,13.0,2,20.0,1,1,0,0,2,5,9.0,0,4
19.0,1.0,9,7,12.0,7,13.0,15.0,8,5,3,3,32.0,49.0,4,5,4,5,47.0,85.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,2
5.0,0.0,9,7,12.0,7,9.0,14.0,8,5,4,2,32.0,32.0,6,4,2,2,47.0,75.0,3,13.0,2,20.0,0,1,0,0,4,6,8.0,0,4
